"date","continent_name","max_country_name","max_stringency_index","min_country_name","min_stringency_index"
20220401,"Africa","Seychelles","56.48","Gabon","11.11"
20220401,"Asia","Myanmar","78.7","Mongolia","0"
20220401,"Europe","Ukraine","60.16","Andorra","8.33"
20220401,"North America","Dominica","59.41","Dominican Republic","8.33"
20220401,"North America","Dominica","59.41","Nicaragua","8.33"
20220401,"Oceania","Vanuatu","85.19","Fiji","32.42"
20220401,"South America","Suriname","50.65","Uruguay","14.82"
