"date","continent_name","max_country_name","max_stringency_index","min_country_name","min_stringency_index"
20210401,"Africa","Mauritius","96.3","Tanzania","8.33"
20210401,"Asia","Timor-Leste","85.19","Laos","16.67"
20210401,"Europe","Greece","87.96","Russia","36.57"
20210401,"North America","Honduras","82.41","Nicaragua","13.89"
20210401,"Oceania","Papua New Guinea","62.04","Kiribati","22.22"
20210401,"Oceania","Papua New Guinea","62.04","New Zealand","22.22"
20210401,"Oceania","Papua New Guinea","62.04","Vanuatu","22.22"
20210401,"South America","Venezuela","87.96","Bolivia","25"
